车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-09-13,12:26,2025-09-13,12:26,0,,30.0,20.7,0.0,0.0,0.0,0.0,19.7,49.7,31.0,67.0,3,阴
G339,石家庄,2025-09-13,13:37,2025-09-13,13:42,0,,31.6,19.1,0.0,0.0,0.0,0.0,13.0,36.7,7.0,68.0,2,多云
G339,鹤壁东,2025-09-13,14:43,2025-09-13,15:00,0,,28.7,17.7,0.0,0.0,0.0,0.0,18.8,37.8,0.0,77.0,0,晴
G339,新乡东,2025-09-13,15:16,2025-09-13,15:18,0,,28.5,18.6,0.0,0.0,0.0,0.0,11.2,27.7,0.0,80.0,0,晴
G339,郑州东,2025-09-13,15:38,2025-09-13,15:42,0,,28.9,19.8,0.0,0.0,0.0,0.0,9.7,21.6,0.0,78.0,0,晴
G339,许昌东,2025-09-13,16:04,2025-09-13,16:10,0,,29.1,18.9,0.0,0.0,0.0,0.0,10.9,20.9,44.0,79.0,3,阴
G339,漯河西,2025-09-13,16:26,2025-09-13,16:28,0,,29.1,19.3,0.0,0.0,0.0,0.0,12.6,22.7,59.0,79.0,3,阴
G339,驻马店西,2025-09-13,16:46,2025-09-13,16:48,0,,27.7,20.0,7.8,7.8,0.0,8.0,12.3,23.0,72.0,82.0,61,小雨
G339,信阳东,2025-09-13,17:13,2025-09-13,17:16,0,,24.9,20.4,14.0,14.0,0.0,12.0,6.3,14.8,100.0,88.0,63,中雨
G339,武汉,2025-09-13,18:00,2025-09-13,18:20,3,,28.8,22.0,0.0,0.0,0.0,0.0,8.2,24.1,88.0,81.0,3,阴
G339,咸宁北,2025-09-13,18:44,2025-09-13,18:46,0,,29.8,23.6,4.3,4.3,0.0,6.0,9.7,28.1,100.0,87.0,55,浓毛毛雨
G339,岳阳东,2025-09-13,19:17,2025-09-13,19:19,0,,29.2,23.8,0.6,0.6,0.0,3.0,14.6,31.0,89.0,85.0,51,小毛毛雨
G339,长沙南,2025-09-13,19:54,2025-09-13,19:57,0,,33.3,26.3,0.5,0.5,0.0,4.0,7.8,21.2,84.0,80.0,51,小毛毛雨
G339,衡阳东,2025-09-13,20:35,2025-09-13,20:37,3,,37.7,28.2,0.2,0.2,0.0,2.0,12.1,33.8,59.0,55.0,51,小毛毛雨
G339,耒阳西,2025-09-13,20:54,2025-09-13,21:07,4,,37.4,27.7,0.1,0.1,0.0,1.0,11.9,30.2,72.0,52.0,51,小毛毛雨
G339,郴州西,2025-09-13,21:28,2025-09-13,21:30,3,,36.1,24.3,0.1,0.1,0.0,1.0,10.0,26.3,62.0,62.0,51,小毛毛雨
G339,广州南,2025-09-13,22:52,,,0,,32.7,25.6,0.0,0.0,0.0,0.0,10.7,22.7,28.0,76.0,3,阴
