车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-09-18,12:26,2025-09-18,12:26,0,,26.6,14.9,0.0,0.0,0.0,0.0,9.6,24.1,47.0,39.0,3,阴
G339,石家庄,2025-09-18,13:37,2025-09-18,13:42,-3,,23.0,12.1,0.7,0.7,0.0,2.0,6.7,14.4,70.0,68.0,51,小毛毛雨
G339,鹤壁东,2025-09-18,14:43,2025-09-18,15:00,0,,20.5,13.5,11.4,11.4,0.0,11.0,13.7,25.2,94.0,74.0,61,小雨
G339,新乡东,2025-09-18,15:16,2025-09-18,15:18,0,,18.8,13.7,23.3,23.3,0.0,13.0,12.3,26.3,100.0,78.0,63,中雨
G339,郑州东,2025-09-18,15:38,2025-09-18,15:42,0,,17.7,13.1,21.2,21.2,0.0,13.0,11.6,23.8,100.0,85.0,63,中雨
G339,许昌东,2025-09-18,16:04,2025-09-18,16:10,-1,,17.3,13.8,25.7,25.7,0.0,19.0,17.4,34.6,100.0,86.0,63,中雨
G339,漯河西,2025-09-18,16:26,2025-09-18,16:28,-1,,18.6,14.3,10.1,10.1,0.0,17.0,17.3,37.8,100.0,88.0,63,中雨
G339,驻马店西,2025-09-18,16:46,2025-09-18,16:48,0,,20.1,15.4,12.1,12.1,0.0,18.0,16.4,33.5,100.0,86.0,63,中雨
G339,信阳东,2025-09-18,17:13,2025-09-18,17:16,0,,21.1,16.5,4.7,4.7,0.0,10.0,21.0,40.3,100.0,85.0,61,小雨
G339,武汉,2025-09-18,18:00,2025-09-18,18:20,-4,,27.5,21.4,0.0,0.0,0.0,0.0,14.6,32.8,94.0,80.0,3,阴
G339,咸宁北,2025-09-18,18:44,2025-09-18,18:46,0,,28.2,23.5,0.1,0.1,0.0,1.0,14.4,31.3,84.0,82.0,51,小毛毛雨
G339,岳阳东,2025-09-18,19:17,2025-09-18,19:19,0,,26.8,22.2,0.0,0.0,0.0,0.0,20.0,43.9,94.0,82.0,3,阴
G339,长沙南,2025-09-18,19:54,2025-09-18,19:57,-1,,31.2,23.0,0.2,0.2,0.0,2.0,17.4,43.6,62.0,73.0,51,小毛毛雨
G339,衡阳东,2025-09-18,20:35,2025-09-18,20:37,0,,35.3,25.0,0.9,0.9,0.0,2.0,17.3,38.5,27.0,63.0,53,毛毛雨
G339,耒阳西,2025-09-18,20:54,2025-09-18,21:07,0,,36.1,26.0,2.2,2.2,0.0,3.0,14.9,33.5,33.0,63.0,55,浓毛毛雨
G339,郴州西,2025-09-18,21:28,2025-09-18,21:30,0,,37.0,25.4,0.4,0.4,0.0,2.0,9.6,27.4,18.0,61.0,51,小毛毛雨
G339,广州南,2025-09-18,22:52,,,-6,,33.0,24.4,1.4,1.4,0.0,6.0,11.2,29.2,53.0,80.0,53,毛毛雨
