车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京,2026-06-30,08:40,2026-06-30,08:40,,,27.8,21.6,1.9,1.9,0.0,8.0,11.6,30.2,78.0,78.0,53,毛毛雨
G339,北京西,2026-06-30,08:54,2026-06-30,09:05,-3.0,,27.8,21.6,1.9,1.9,0.0,8.0,11.6,30.2,78.0,78.0,53,毛毛雨
G339,郑州东,2026-06-30,11:16,2026-06-30,11:19,0.0,,35.7,26.9,5.0,5.0,0.0,1.0,10.5,30.6,85.0,53.0,63,中雨
G339,武汉,2026-06-30,12:53,2026-06-30,12:53,0.0,,28.6,23.9,17.4,17.4,0.0,22.0,10.0,21.6,99.0,89.0,63,中雨
