车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-01,12:26,2025-10-01,12:26,0,,30.0,17.8,0.0,0.0,0.0,0.0,8.4,19.1,75.0,44.0,3,阴
G339,石家庄,2025-10-01,13:37,2025-10-01,13:42,0,,31.7,21.4,0.7,0.7,0.0,4.0,14.5,33.8,92.0,38.0,51,小毛毛雨
G339,鹤壁东,2025-10-01,14:43,2025-10-01,15:00,0,,25.1,16.6,7.6,7.6,0.0,5.0,13.8,27.4,80.0,78.0,63,中雨
G339,新乡东,2025-10-01,15:16,2025-10-01,15:18,0,,23.5,16.9,6.8,6.8,0.0,4.0,14.6,32.8,80.0,82.0,63,中雨
G339,郑州东,2025-10-01,15:38,2025-10-01,15:42,0,,23.2,16.7,20.1,20.1,0.0,8.0,12.3,28.4,93.0,82.0,63,中雨
G339,许昌东,2025-10-01,16:04,2025-10-01,16:10,0,,21.0,17.5,35.0,35.0,0.0,14.0,18.9,34.9,100.0,87.0,63,中雨
G339,漯河西,2025-10-01,16:26,2025-10-01,16:28,0,,20.5,18.4,18.8,18.8,0.0,17.0,16.2,29.2,98.0,88.0,63,中雨
G339,驻马店西,2025-10-01,16:46,2025-10-01,16:48,0,,24.1,19.3,21.9,21.9,0.0,13.0,11.2,26.3,100.0,86.0,65,大雨
G339,信阳东,2025-10-01,17:13,2025-10-01,17:16,0,,25.8,20.1,3.0,3.0,0.0,5.0,14.6,30.2,93.0,88.0,55,浓毛毛雨
G339,武汉,2025-10-01,18:00,2025-10-01,18:20,0,,26.3,20.9,1.5,1.5,0.0,5.0,12.5,25.6,88.0,90.0,53,毛毛雨
G339,咸宁北,2025-10-01,18:44,2025-10-01,18:46,0,,30.9,21.4,0.1,0.1,0.0,1.0,10.0,24.1,91.0,84.0,51,小毛毛雨
G339,岳阳东,2025-10-01,19:17,2025-10-01,19:19,0,,29.9,22.3,0.8,0.8,0.0,4.0,12.0,22.0,91.0,86.0,51,小毛毛雨
G339,长沙南,2025-10-01,19:54,2025-10-01,19:57,0,,32.7,23.3,0.0,0.0,0.0,0.0,12.0,24.5,92.0,79.0,3,阴
G339,衡阳东,2025-10-01,20:35,2025-10-01,20:37,2,,32.6,24.7,0.0,0.0,0.0,0.0,9.9,19.8,85.0,80.0,3,阴
G339,耒阳西,2025-10-01,20:54,2025-10-01,21:07,2,,34.3,23.7,0.0,0.0,0.0,0.0,8.3,19.1,80.0,79.0,3,阴
G339,郴州西,2025-10-01,21:28,2025-10-01,21:30,1,,35.0,23.3,0.1,0.1,0.0,1.0,8.1,24.8,61.0,72.0,51,小毛毛雨
G339,广州南,2025-10-01,22:52,,,-1,,33.5,25.1,1.3,1.3,0.0,4.0,11.0,22.0,72.0,77.0,53,毛毛雨
