车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-12-05,12:26,2025-12-05,12:26,0,,4.3,-4.8,0.0,0.0,0.0,0.0,7.5,19.8,19.0,43.0,3,阴
G339,石家庄,2025-12-05,13:37,2025-12-05,13:42,0,,6.7,-3.7,0.0,0.0,0.0,0.0,8.4,18.0,22.0,46.0,3,阴
G339,鹤壁东,2025-12-05,14:43,2025-12-05,15:00,2,,9.2,-2.0,0.0,0.0,0.0,0.0,27.8,51.8,12.0,40.0,2,多云
G339,新乡东,2025-12-05,15:16,2025-12-05,15:18,1,,10.0,-2.6,0.0,0.0,0.0,0.0,14.6,32.8,0.0,44.0,0,晴
G339,郑州东,2025-12-05,15:38,2025-12-05,15:42,1,,11.2,-0.5,0.0,0.0,0.0,0.0,12.8,31.0,0.0,49.0,0,晴
G339,许昌东,2025-12-05,16:04,2025-12-05,16:10,1,,11.1,-1.7,0.0,0.0,0.0,0.0,14.4,31.7,3.0,58.0,2,多云
G339,漯河西,2025-12-05,16:26,2025-12-05,16:28,0,,11.0,-1.1,0.0,0.0,0.0,0.0,12.1,27.7,11.0,65.0,3,阴
G339,驻马店西,2025-12-05,16:46,2025-12-05,16:48,0,,11.3,-0.8,0.0,0.0,0.0,0.0,11.4,20.9,18.0,67.0,3,阴
G339,信阳东,2025-12-05,17:13,2025-12-05,17:16,0,,12.4,1.7,0.0,0.0,0.0,0.0,11.8,19.4,22.0,65.0,3,阴
G339,武汉,2025-12-05,18:00,2025-12-05,18:20,-3,,13.2,7.3,0.0,0.0,0.0,0.0,5.4,14.0,45.0,63.0,3,阴
G339,岳阳东,2025-12-05,19:17,2025-12-05,19:19,0,,13.6,7.2,0.0,0.0,0.0,0.0,9.4,24.8,46.0,62.0,3,阴
G339,长沙南,2025-12-05,19:54,2025-12-05,19:57,-2,,14.8,8.5,0.0,0.0,0.0,0.0,9.9,24.8,48.0,57.0,3,阴
G339,衡阳东,2025-12-05,20:35,2025-12-05,20:37,-2,,12.7,7.9,0.1,0.1,0.0,1.0,6.9,15.1,62.0,68.0,51,小毛毛雨
G339,耒阳西,2025-12-05,20:54,2025-12-05,21:07,0,,12.9,6.9,0.0,0.0,0.0,0.0,12.5,24.1,76.0,69.0,3,阴
G339,郴州西,2025-12-05,21:28,2025-12-05,21:30,0,,12.8,7.1,0.4,0.4,0.0,3.0,7.9,19.8,77.0,70.0,51,小毛毛雨
G339,广州南,2025-12-05,22:52,,,-4,,23.1,14.8,0.0,0.0,0.0,0.0,10.1,27.7,37.0,68.0,3,阴
