车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-11-06,12:26,2025-11-06,12:26,-2,,14.4,9.1,0.0,0.0,0.0,0.0,7.4,18.4,100.0,73.0,3,阴
G339,石家庄,2025-11-06,13:37,2025-11-06,13:42,-3,,15.4,9.8,1.7,1.7,0.0,7.0,8.6,18.7,99.0,85.0,53,毛毛雨
G339,鹤壁东,2025-11-06,14:43,2025-11-06,15:00,0,,16.0,8.8,4.2,4.2,0.0,6.0,16.6,33.8,82.0,80.0,55,浓毛毛雨
G339,新乡东,2025-11-06,15:16,2025-11-06,15:18,-2,,15.7,10.2,3.1,3.1,0.0,5.0,20.0,40.7,86.0,78.0,53,毛毛雨
G339,郑州东,2025-11-06,15:38,2025-11-06,15:42,0,,14.2,9.9,4.8,4.8,0.0,12.0,16.6,33.5,91.0,85.0,53,毛毛雨
G339,许昌东,2025-11-06,16:04,2025-11-06,16:10,0,,13.8,10.9,5.4,5.4,0.0,14.0,15.3,28.8,99.0,90.0,53,毛毛雨
G339,漯河西,2025-11-06,16:26,2025-11-06,16:28,-1,,14.5,12.7,3.8,3.8,0.0,14.0,13.8,27.0,99.0,87.0,55,浓毛毛雨
G339,驻马店西,2025-11-06,16:46,2025-11-06,16:48,0,,15.1,13.3,6.4,6.4,0.0,16.0,12.6,25.6,99.0,88.0,61,小雨
G339,信阳东,2025-11-06,17:13,2025-11-06,17:16,0,,17.0,14.1,8.4,8.4,0.0,17.0,9.3,19.4,100.0,88.0,61,小雨
G339,武汉,2025-11-06,18:00,2025-11-06,18:20,0,,17.0,15.3,23.0,23.0,0.0,21.0,10.3,21.2,100.0,94.0,65,大雨
G339,咸宁北,2025-11-06,18:44,2025-11-06,18:46,-1,,17.3,15.7,6.7,6.7,0.0,12.0,7.9,16.6,100.0,93.0,63,中雨
G339,岳阳东,2025-11-06,19:17,2025-11-06,19:19,0,,18.5,15.7,0.7,0.7,0.0,2.0,9.7,20.9,100.0,86.0,53,毛毛雨
G339,长沙南,2025-11-06,19:54,2025-11-06,19:57,0,,21.3,15.8,0.0,0.0,0.0,0.0,9.3,24.8,87.0,77.0,3,阴
G339,衡阳东,2025-11-06,20:35,2025-11-06,20:37,0,,23.3,14.6,0.0,0.0,0.0,0.0,12.7,26.3,53.0,81.0,3,阴
G339,耒阳西,2025-11-06,20:54,2025-11-06,21:07,0,,25.3,14.0,0.0,0.0,0.0,0.0,9.1,17.3,40.0,80.0,3,阴
G339,郴州西,2025-11-06,21:28,2025-11-06,21:30,0,,25.7,13.6,0.0,0.0,0.0,0.0,8.4,25.2,29.0,80.0,3,阴
G339,广州南,2025-11-06,22:52,,,0,,28.8,17.6,0.0,0.0,0.0,0.0,9.4,22.3,40.0,72.0,3,阴
