车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-18,12:26,2025-10-18,12:26,0,,9.4,4.1,0.0,0.0,0.0,0.0,13.6,34.6,51.0,51.0,3,阴
G339,石家庄,2025-10-18,13:37,2025-10-18,13:42,0,,11.5,8.4,0.0,0.0,0.0,0.0,10.2,22.7,90.0,54.0,3,阴
G339,鹤壁东,2025-10-18,14:43,2025-10-18,15:00,0,,13.9,9.2,0.0,0.0,0.0,0.0,22.7,41.4,86.0,64.0,3,阴
G339,新乡东,2025-10-18,15:16,2025-10-18,15:18,0,,15.1,10.8,0.0,0.0,0.0,0.0,22.5,49.0,73.0,63.0,3,阴
G339,郑州东,2025-10-18,15:38,2025-10-18,15:42,0,,16.5,10.9,0.0,0.0,0.0,0.0,15.8,38.5,84.0,69.0,3,阴
G339,许昌东,2025-10-18,16:04,2025-10-18,16:10,0,,16.2,11.4,0.0,0.0,0.0,0.0,25.7,54.0,87.0,70.0,3,阴
G339,漯河西,2025-10-18,16:26,2025-10-18,16:28,0,,16.9,12.0,0.0,0.0,0.0,0.0,23.8,49.3,83.0,72.0,3,阴
G339,驻马店西,2025-10-18,16:46,2025-10-18,16:48,0,,16.2,13.4,0.2,0.2,0.0,2.0,21.4,42.8,100.0,75.0,51,小毛毛雨
G339,信阳东,2025-10-18,17:13,2025-10-18,17:16,0,,15.6,13.9,2.3,2.3,0.0,12.0,24.5,47.2,100.0,82.0,51,小毛毛雨
G339,武汉,2025-10-18,18:00,2025-10-18,18:20,-3,,18.5,14.4,28.1,28.1,0.0,23.0,21.7,47.5,100.0,90.0,61,小雨
G339,咸宁北,2025-10-18,18:44,2025-10-18,18:46,-1,,19.9,15.9,4.0,4.0,0.0,13.0,14.4,28.1,100.0,88.0,55,浓毛毛雨
G339,岳阳东,2025-10-18,19:17,2025-10-18,19:19,0,,18.9,15.4,5.7,5.7,0.0,18.0,24.4,49.0,100.0,90.0,53,毛毛雨
G339,长沙南,2025-10-18,19:54,2025-10-18,19:57,0,,21.4,16.9,2.8,2.8,0.0,12.0,18.5,45.0,100.0,81.0,53,毛毛雨
G339,衡阳东,2025-10-18,20:35,2025-10-18,20:37,0,,22.9,18.1,0.3,0.3,0.0,3.0,12.0,27.4,98.0,82.0,51,小毛毛雨
G339,耒阳西,2025-10-18,20:54,2025-10-18,21:07,-1,,24.6,18.7,18.9,18.9,0.0,7.0,16.3,33.8,90.0,81.0,63,中雨
G339,郴州西,2025-10-18,21:28,2025-10-18,21:30,0,,23.6,18.4,16.7,16.7,0.0,13.0,12.6,27.7,92.0,88.0,65,大雨
G339,广州南,2025-10-18,22:52,,,0,,34.7,25.7,0.0,0.0,0.0,0.0,10.8,30.2,14.0,65.0,1,晴间多云
