车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-29,12:26,2025-10-29,12:26,0,,13.1,5.8,2.8,2.8,0.0,1.0,7.1,20.9,56.0,88.0,63,中雨
G339,石家庄,2025-10-29,13:37,2025-10-29,13:42,0,,16.8,7.1,0.0,0.0,0.0,0.0,8.6,23.8,41.0,90.0,3,阴
G339,鹤壁东,2025-10-29,14:43,2025-10-29,15:00,0,,19.1,9.7,0.0,0.0,0.0,0.0,21.0,40.3,58.0,77.0,3,阴
G339,新乡东,2025-10-29,15:16,2025-10-29,15:18,0,,19.3,9.8,0.3,0.3,0.0,2.0,11.7,27.0,65.0,77.0,51,小毛毛雨
G339,郑州东,2025-10-29,15:38,2025-10-29,15:42,0,,18.7,11.3,0.5,0.5,0.0,2.0,11.3,22.7,76.0,79.0,51,小毛毛雨
G339,许昌东,2025-10-29,16:04,2025-10-29,16:10,0,,19.0,11.1,0.0,0.0,0.0,0.0,12.4,23.0,99.0,77.0,3,阴
G339,漯河西,2025-10-29,16:26,2025-10-29,16:28,0,,19.4,11.9,0.0,0.0,0.0,0.0,10.2,19.8,97.0,78.0,3,阴
G339,驻马店西,2025-10-29,16:46,2025-10-29,16:48,0,,19.0,10.8,0.0,0.0,0.0,0.0,7.8,19.4,100.0,78.0,3,阴
G339,信阳东,2025-10-29,17:13,2025-10-29,17:16,0,,21.4,10.5,0.3,0.3,0.0,1.0,10.0,18.0,94.0,80.0,51,小毛毛雨
G339,武汉,2025-10-29,18:00,2025-10-29,18:20,-4,,21.6,13.4,0.9,0.9,0.0,2.0,10.3,27.4,72.0,75.0,53,毛毛雨
G339,咸宁北,2025-10-29,18:44,2025-10-29,18:46,-2,,23.3,10.8,0.4,0.4,0.0,3.0,11.2,24.1,67.0,74.0,51,小毛毛雨
G339,岳阳东,2025-10-29,19:17,2025-10-29,19:19,0,,21.7,11.9,0.9,0.9,0.0,2.0,8.4,20.2,69.0,82.0,53,毛毛雨
G339,长沙南,2025-10-29,19:54,2025-10-29,19:57,-4,,24.9,14.4,0.0,0.0,0.0,0.0,7.2,22.0,51.0,66.0,3,阴
G339,衡阳东,2025-10-29,20:35,2025-10-29,20:37,2,,22.5,14.5,0.0,0.0,0.0,0.0,7.3,15.8,61.0,80.0,3,阴
G339,耒阳西,2025-10-29,20:54,2025-10-29,21:07,0,,17.9,14.4,2.3,2.3,0.0,5.0,7.9,14.4,77.0,89.0,55,浓毛毛雨
G339,郴州西,2025-10-29,21:28,2025-10-29,21:30,2,,21.9,14.6,0.0,0.0,0.0,0.0,10.0,27.4,82.0,80.0,3,阴
G339,广州南,2025-10-29,22:52,,,-5,,28.1,20.1,0.1,0.1,0.0,1.0,11.0,24.1,100.0,65.0,51,小毛毛雨
