车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-03,12:26,2025-10-03,12:26,-1,,23.6,18.2,0.5,0.5,0.0,2.0,5.8,15.8,60.0,69.0,51,小毛毛雨
G339,石家庄,2025-10-03,13:37,2025-10-03,13:42,0,,25.4,17.3,0.0,0.0,0.0,0.0,8.0,19.1,53.0,63.0,3,阴
G339,鹤壁东,2025-10-03,14:43,2025-10-03,15:00,0,,22.6,17.4,0.1,0.1,0.0,1.0,17.7,34.9,91.0,78.0,51,小毛毛雨
G339,新乡东,2025-10-03,15:16,2025-10-03,15:18,0,,23.4,17.7,0.0,0.0,0.0,0.0,15.7,34.9,76.0,76.0,3,阴
G339,郑州东,2025-10-03,15:38,2025-10-03,15:42,0,,22.3,17.1,0.4,0.4,0.0,3.0,14.8,35.6,87.0,82.0,51,小毛毛雨
G339,许昌东,2025-10-03,16:04,2025-10-03,16:10,0,,23.3,17.4,2.6,2.6,0.0,5.0,13.5,32.8,89.0,84.0,61,小雨
G339,漯河西,2025-10-03,16:26,2025-10-03,16:28,0,,21.9,17.1,11.7,11.7,0.0,13.0,11.6,26.3,96.0,88.0,63,中雨
G339,驻马店西,2025-10-03,16:46,2025-10-03,16:48,0,,20.2,17.4,28.2,28.2,0.0,13.0,11.7,25.2,99.0,93.0,63,中雨
G339,信阳东,2025-10-03,17:13,2025-10-03,17:16,0,,21.5,17.8,15.7,15.7,0.0,7.0,13.1,25.2,100.0,87.0,65,大雨
G339,武汉,2025-10-03,18:00,2025-10-03,18:20,-2,,27.1,19.3,0.2,0.2,0.0,2.0,10.8,25.6,62.0,84.0,51,小毛毛雨
G339,咸宁北,2025-10-03,18:44,2025-10-03,18:46,-2,,26.9,21.6,0.0,0.0,0.0,0.0,8.3,20.9,96.0,82.0,3,阴
G339,岳阳东,2025-10-03,19:17,2025-10-03,19:19,0,,25.3,21.3,0.0,0.0,0.0,0.0,15.3,32.8,83.0,84.0,3,阴
G339,长沙南,2025-10-03,19:54,2025-10-03,19:57,-3,,30.5,23.3,0.0,0.0,0.0,0.0,11.9,32.8,62.0,75.0,3,阴
G339,衡阳东,2025-10-03,20:35,2025-10-03,20:37,0,,33.4,25.3,0.0,0.0,0.0,0.0,19.4,37.1,30.0,67.0,3,阴
G339,耒阳西,2025-10-03,20:54,2025-10-03,21:07,0,,34.4,25.1,0.0,0.0,0.0,0.0,10.4,20.5,22.0,63.0,3,阴
G339,郴州西,2025-10-03,21:28,2025-10-03,21:30,0,,33.4,22.4,0.0,0.0,0.0,0.0,9.1,21.6,13.0,69.0,3,阴
G339,广州南,2025-10-03,22:52,,,-5,,33.0,25.1,0.2,0.2,0.0,1.0,8.7,17.6,13.0,76.0,51,小毛毛雨
