车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-12-30,12:26,2025-12-30,12:26,0,,2.2,-3.1,0.0,0.0,0.0,0.0,16.6,40.3,0.0,26.0,0,晴
G339,石家庄,2025-12-30,13:37,2025-12-30,13:42,0,,5.1,-2.8,0.0,0.0,0.0,0.0,8.5,17.6,19.0,53.0,3,阴
G339,鹤壁东,2025-12-30,14:43,2025-12-30,15:00,2,,8.2,-1.8,0.0,0.0,0.0,0.0,19.8,34.9,4.0,59.0,1,晴间多云
G339,新乡东,2025-12-30,15:16,2025-12-30,15:18,0,,9.4,-0.8,0.0,0.0,0.0,0.0,21.5,42.5,3.0,58.0,2,多云
G339,郑州东,2025-12-30,15:38,2025-12-30,15:42,0,,10.2,-0.2,0.0,0.0,0.0,0.0,17.9,38.5,15.0,64.0,3,阴
G339,许昌东,2025-12-30,16:04,2025-12-30,16:10,0,,10.7,-0.5,0.0,0.0,0.0,0.0,18.2,36.0,44.0,68.0,3,阴
G339,漯河西,2025-12-30,16:26,2025-12-30,16:28,0,,11.1,0.2,0.0,0.0,0.0,0.0,14.0,26.3,57.0,69.0,3,阴
G339,驻马店西,2025-12-30,16:46,2025-12-30,16:48,0,,9.9,1.7,0.0,0.0,0.0,0.0,14.1,26.3,82.0,77.0,3,阴
G339,信阳东,2025-12-30,17:13,2025-12-30,17:16,0,,11.9,5.7,0.0,0.0,0.0,0.0,14.7,26.6,94.0,74.0,3,阴
G339,武汉,2025-12-30,18:00,2025-12-30,18:20,-2,,15.7,8.3,0.0,0.0,0.0,0.0,11.5,24.1,81.0,69.0,3,阴
G339,咸宁北,2025-12-30,18:44,2025-12-30,18:46,-1,,16.8,7.3,0.0,0.0,0.0,0.0,10.7,24.1,78.0,65.0,3,阴
G339,岳阳东,2025-12-30,19:17,2025-12-30,19:19,0,,15.4,8.2,0.0,0.0,0.0,0.0,11.9,23.0,60.0,70.0,3,阴
G339,长沙南,2025-12-30,19:54,2025-12-30,19:57,-3,,16.9,9.9,0.0,0.0,0.0,0.0,11.6,23.8,48.0,67.0,3,阴
G339,衡阳东,2025-12-30,20:35,2025-12-30,20:37,-3,,17.2,9.6,0.0,0.0,0.0,0.0,10.9,19.4,46.0,71.0,3,阴
G339,耒阳西,2025-12-30,20:54,2025-12-30,21:07,-2,,18.2,9.3,0.0,0.0,0.0,0.0,8.7,22.0,60.0,66.0,3,阴
G339,郴州西,2025-12-30,21:28,2025-12-30,21:30,0,,19.1,10.1,0.0,0.0,0.0,0.0,9.5,24.8,52.0,67.0,3,阴
G339,广州南,2025-12-30,22:52,,,-7,,22.6,13.2,0.0,0.0,0.0,0.0,7.2,18.4,19.0,71.0,3,阴
