车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2026-01-25,12:26,2026-01-25,12:26,0,,-1.5,-7.4,0.0,0.0,0.0,0.0,12.0,26.6,68.0,39.0,3,阴
G339,石家庄,2026-01-25,13:37,2026-01-25,13:42,0,,-1.4,-4.5,0.0,0.0,0.0,0.0,7.3,20.2,98.0,46.0,3,阴
G339,鹤壁东,2026-01-25,14:43,2026-01-25,15:00,0,,1.3,-1.7,0.0,0.0,0.0,0.0,22.4,42.1,97.0,57.0,3,阴
G339,新乡东,2026-01-25,15:16,2026-01-25,15:18,0,,2.3,0.2,0.1,0.0,0.07,1.0,19.5,40.7,96.0,56.0,71,小雪
G339,郑州东,2026-01-25,15:38,2026-01-25,15:42,0,,0.9,-0.7,0.1,0.1,0.0,1.0,14.4,31.7,97.0,70.0,51,小毛毛雨
G339,许昌东,2026-01-25,16:04,2026-01-25,16:10,0,,1.8,-0.8,0.8,0.2,0.42,7.0,17.4,36.4,99.0,78.0,71,小雪
G339,漯河西,2026-01-25,16:26,2026-01-25,16:28,0,,1.9,-0.7,1.0,0.6,0.28,9.0,14.9,29.2,92.0,85.0,71,小雪
G339,驻马店西,2026-01-25,16:46,2026-01-25,16:48,0,,1.6,-1.4,1.9,1.3,0.42,13.0,16.9,32.8,88.0,92.0,71,小雪
G339,信阳东,2026-01-25,17:13,2026-01-25,17:16,0,,2.5,-0.8,2.1,2.1,0.0,18.0,16.8,29.9,88.0,94.0,51,小毛毛雨
G339,武汉,2026-01-25,18:00,2026-01-25,18:20,0,,8.9,3.4,2.5,2.5,0.0,13.0,13.2,27.7,100.0,87.0,51,小毛毛雨
G339,咸宁北,2026-01-25,18:44,2026-01-25,18:46,0,,9.8,5.2,6.2,6.2,0.0,14.0,11.5,22.0,100.0,86.0,53,毛毛雨
G339,岳阳东,2026-01-25,19:17,2026-01-25,19:19,0,,9.4,4.9,5.0,5.0,0.0,15.0,19.7,35.6,100.0,88.0,53,毛毛雨
G339,长沙南,2026-01-25,19:54,2026-01-25,19:57,0,,13.8,7.6,0.3,0.3,0.0,3.0,12.2,28.1,98.0,80.0,51,小毛毛雨
G339,衡阳东,2026-01-25,20:35,2026-01-25,20:37,0,,17.5,7.6,0.1,0.1,0.0,1.0,11.9,24.8,69.0,78.0,51,小毛毛雨
G339,耒阳西,2026-01-25,20:54,2026-01-25,21:07,0,,21.7,6.9,0.0,0.0,0.0,0.0,12.6,30.2,44.0,72.0,3,阴
G339,郴州西,2026-01-25,21:28,2026-01-25,21:30,0,,23.0,3.5,0.0,0.0,0.0,0.0,15.9,37.4,36.0,77.0,3,阴
G339,广州南,2026-01-25,22:52,,,-5,,24.2,11.6,0.0,0.0,0.0,0.0,10.1,25.9,18.0,70.0,3,阴
