车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-25,12:26,2025-10-25,12:26,0,,14.6,6.1,0.0,0.0,0.0,0.0,11.4,23.8,39.0,82.0,3,阴
G339,石家庄,2025-10-25,13:37,2025-10-25,13:42,-3,,16.0,6.6,0.0,0.0,0.0,0.0,5.3,14.0,74.0,85.0,3,阴
G339,鹤壁东,2025-10-25,14:43,2025-10-25,15:00,0,,15.9,9.8,3.3,3.3,0.0,7.0,21.5,41.0,84.0,80.0,53,毛毛雨
G339,新乡东,2025-10-25,15:16,2025-10-25,15:18,0,,15.2,10.2,2.7,2.7,0.0,5.0,15.9,34.6,85.0,82.0,53,毛毛雨
G339,郑州东,2025-10-25,15:38,2025-10-25,15:42,0,,14.7,10.1,3.4,3.4,0.0,8.0,11.0,27.0,90.0,83.0,55,浓毛毛雨
G339,许昌东,2025-10-25,16:04,2025-10-25,16:10,0,,13.9,10.3,5.1,5.1,0.0,13.0,11.2,20.9,82.0,88.0,55,浓毛毛雨
G339,漯河西,2025-10-25,16:26,2025-10-25,16:28,-1,,13.6,9.7,4.0,4.0,0.0,13.0,11.7,21.6,88.0,89.0,53,毛毛雨
G339,驻马店西,2025-10-25,16:46,2025-10-25,16:48,-1,,13.4,9.0,4.8,4.8,0.0,13.0,10.0,22.3,86.0,91.0,55,浓毛毛雨
G339,信阳东,2025-10-25,17:13,2025-10-25,17:16,0,,14.3,9.8,3.3,3.3,0.0,6.0,10.5,23.4,88.0,83.0,55,浓毛毛雨
G339,武汉,2025-10-25,18:00,2025-10-25,18:20,0,,16.4,12.0,2.2,2.2,0.0,7.0,10.5,24.8,92.0,82.0,53,毛毛雨
G339,咸宁北,2025-10-25,18:44,2025-10-25,18:46,0,,19.4,12.0,2.0,2.0,0.0,7.0,10.9,23.0,68.0,79.0,53,毛毛雨
G339,岳阳东,2025-10-25,19:17,2025-10-25,19:19,0,,18.2,12.3,0.9,0.9,0.0,5.0,15.8,32.4,65.0,82.0,51,小毛毛雨
G339,长沙南,2025-10-25,19:54,2025-10-25,19:57,0,,20.0,13.0,0.6,0.6,0.0,3.0,16.9,40.3,78.0,68.0,51,小毛毛雨
G339,衡阳东,2025-10-25,20:35,2025-10-25,20:37,0,,21.4,13.8,0.0,0.0,0.0,0.0,12.3,28.1,50.0,72.0,3,阴
G339,耒阳西,2025-10-25,20:54,2025-10-25,21:07,0,,22.4,13.4,0.0,0.0,0.0,0.0,16.6,32.8,45.0,65.0,3,阴
G339,郴州西,2025-10-25,21:28,2025-10-25,21:30,1,,23.2,12.7,0.0,0.0,0.0,0.0,13.2,30.6,38.0,69.0,3,阴
G339,广州南,2025-10-25,22:52,,,1,,27.8,19.1,0.0,0.0,0.0,0.0,15.0,33.1,48.0,50.0,3,阴
