车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-12-10,12:26,2025-12-10,12:26,0,,3.9,-3.3,0.0,0.0,0.0,0.0,8.4,14.8,34.0,47.0,3,阴
G339,石家庄,2025-12-10,13:37,2025-12-10,13:42,0,,7.9,-1.7,0.0,0.0,0.0,0.0,10.0,21.2,17.0,53.0,3,阴
G339,鹤壁东,2025-12-10,14:43,2025-12-10,15:00,0,,15.4,2.8,0.0,0.0,0.0,0.0,16.6,28.4,36.0,59.0,3,阴
G339,新乡东,2025-12-10,15:16,2025-12-10,15:18,0,,16.7,2.6,0.0,0.0,0.0,0.0,14.4,33.5,45.0,60.0,3,阴
G339,郑州东,2025-12-10,15:38,2025-12-10,15:42,0,,17.3,4.1,0.0,0.0,0.0,0.0,18.3,39.6,47.0,55.0,3,阴
G339,许昌东,2025-12-10,16:04,2025-12-10,16:10,0,,15.3,1.4,0.0,0.0,0.0,0.0,14.4,26.6,39.0,74.0,3,阴
G339,漯河西,2025-12-10,16:26,2025-12-10,16:28,0,,15.3,2.0,0.0,0.0,0.0,0.0,12.8,23.4,43.0,80.0,3,阴
G339,驻马店西,2025-12-10,16:46,2025-12-10,16:48,0,,16.7,3.4,0.0,0.0,0.0,0.0,9.9,17.3,39.0,79.0,3,阴
G339,信阳东,2025-12-10,17:13,2025-12-10,17:16,1,,18.4,4.1,0.0,0.0,0.0,0.0,9.8,21.6,33.0,77.0,3,阴
G339,武汉,2025-12-10,18:00,2025-12-10,18:20,0,,16.7,9.2,0.4,0.4,0.0,2.0,6.1,12.2,52.0,77.0,51,小毛毛雨
G339,岳阳东,2025-12-10,19:17,2025-12-10,19:19,0,,19.1,10.0,0.0,0.0,0.0,0.0,9.4,24.1,42.0,69.0,3,阴
G339,长沙南,2025-12-10,19:54,2025-12-10,19:57,-2,,21.2,10.0,0.0,0.0,0.0,0.0,5.1,18.0,5.0,67.0,0,晴
G339,衡阳东,2025-12-10,20:35,2025-12-10,20:37,0,,20.6,8.9,0.0,0.0,0.0,0.0,7.2,15.8,6.0,75.0,3,阴
G339,耒阳西,2025-12-10,20:54,2025-12-10,21:07,-1,,23.0,8.3,0.0,0.0,0.0,0.0,10.8,19.8,6.0,74.0,3,阴
G339,郴州西,2025-12-10,21:28,2025-12-10,21:30,0,,23.6,10.1,0.0,0.0,0.0,0.0,9.4,24.5,3.0,70.0,0,晴
G339,广州南,2025-12-10,22:52,,,-5,,23.1,15.7,0.0,0.0,0.0,0.0,7.1,17.6,76.0,78.0,3,阴
