车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-24,12:26,2025-10-24,12:26,0,,12.7,4.4,0.0,0.0,0.0,0.0,7.5,20.2,52.0,81.0,3,阴
G339,石家庄,2025-10-24,13:37,2025-10-24,13:42,-3,,14.4,7.0,0.0,0.0,0.0,0.0,7.3,20.5,95.0,82.0,3,阴
G339,鹤壁东,2025-10-24,14:43,2025-10-24,15:00,0,,15.6,7.7,0.1,0.1,0.0,1.0,11.6,20.9,89.0,70.0,51,小毛毛雨
G339,新乡东,2025-10-24,15:16,2025-10-24,15:18,0,,15.5,9.6,0.9,0.9,0.0,2.0,10.8,23.4,94.0,68.0,53,毛毛雨
G339,郑州东,2025-10-24,15:38,2025-10-24,15:42,0,,14.6,8.8,0.6,0.6,0.0,2.0,8.3,18.4,89.0,74.0,51,小毛毛雨
G339,许昌东,2025-10-24,16:04,2025-10-24,16:10,0,,17.2,9.6,0.7,0.7,0.0,2.0,11.3,22.3,90.0,67.0,53,毛毛雨
G339,漯河西,2025-10-24,16:26,2025-10-24,16:28,2,,17.6,8.8,0.2,0.2,0.0,1.0,12.7,24.5,76.0,66.0,51,小毛毛雨
G339,驻马店西,2025-10-24,16:46,2025-10-24,16:48,2,,18.0,7.3,0.7,0.7,0.0,2.0,11.9,24.1,60.0,68.0,53,毛毛雨
G339,信阳东,2025-10-24,17:13,2025-10-24,17:16,2,,16.9,8.1,0.1,0.1,0.0,1.0,12.6,27.4,63.0,63.0,51,小毛毛雨
G339,武汉,2025-10-24,18:00,2025-10-24,18:20,-2,,17.8,10.5,0.0,0.0,0.0,0.0,10.4,24.8,69.0,67.0,3,阴
G339,咸宁北,2025-10-24,18:44,2025-10-24,18:46,-1,,19.4,10.0,0.0,0.0,0.0,0.0,13.0,28.8,57.0,69.0,3,阴
G339,岳阳东,2025-10-24,19:17,2025-10-24,19:19,0,,17.6,12.3,0.0,0.0,0.0,0.0,16.8,36.7,63.0,71.0,3,阴
G339,长沙南,2025-10-24,19:54,2025-10-24,19:57,2,,20.9,13.5,0.0,0.0,0.0,0.0,13.9,31.3,45.0,60.0,3,阴
G339,衡阳东,2025-10-24,20:35,2025-10-24,20:37,5,,20.8,12.9,0.0,0.0,0.0,0.0,15.0,33.8,14.0,68.0,1,晴间多云
G339,耒阳西,2025-10-24,20:54,2025-10-24,21:07,2,,22.3,13.5,0.0,0.0,0.0,0.0,13.2,31.0,45.0,64.0,3,阴
G339,郴州西,2025-10-24,21:28,2025-10-24,21:30,4,,22.0,12.8,0.0,0.0,0.0,0.0,14.2,33.1,54.0,68.0,3,阴
G339,广州南,2025-10-24,22:52,,,1,,23.9,18.9,0.0,0.0,0.0,0.0,17.6,41.0,93.0,55.0,3,阴
