车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-10-09,12:26,2025-10-09,12:26,0,,11.3,10.2,27.9,27.9,0.0,21.0,8.6,19.4,100.0,92.0,63,中雨
G339,石家庄,2025-10-09,13:37,2025-10-09,13:42,0,,11.0,9.0,22.4,22.4,0.0,24.0,12.1,27.4,100.0,90.0,63,中雨
G339,鹤壁东,2025-10-09,14:43,2025-10-09,15:00,0,,12.2,9.3,8.7,8.7,0.0,23.0,29.3,53.3,100.0,84.0,61,小雨
G339,新乡东,2025-10-09,15:16,2025-10-09,15:18,0,,13.4,10.7,7.5,7.5,0.0,17.0,23.9,46.8,100.0,84.0,61,小雨
G339,郑州东,2025-10-09,15:38,2025-10-09,15:42,0,,14.0,10.3,6.7,6.7,0.0,20.0,16.6,42.5,100.0,87.0,61,小雨
G339,许昌东,2025-10-09,16:04,2025-10-09,16:10,1,,19.6,11.8,2.7,2.7,0.0,11.0,22.3,51.1,100.0,84.0,53,毛毛雨
G339,漯河西,2025-10-09,16:26,2025-10-09,16:28,-1,,20.9,12.6,0.1,0.1,0.0,1.0,16.4,34.2,100.0,83.0,51,小毛毛雨
G339,驻马店西,2025-10-09,16:46,2025-10-09,16:48,0,,22.2,13.3,0.4,0.4,0.0,3.0,16.3,34.2,92.0,84.0,51,小毛毛雨
G339,信阳东,2025-10-09,17:13,2025-10-09,17:16,1,,27.8,15.6,0.0,0.0,0.0,0.0,15.3,29.9,65.0,86.0,3,阴
G339,武汉,2025-10-09,18:00,2025-10-09,18:20,-3,,32.9,26.3,0.6,0.6,0.0,1.0,11.9,24.8,13.0,81.0,53,毛毛雨
G339,咸宁北,2025-10-09,18:44,2025-10-09,18:46,-2,,35.1,25.1,0.2,0.2,0.0,1.0,7.7,18.7,20.0,80.0,51,小毛毛雨
G339,岳阳东,2025-10-09,19:17,2025-10-09,19:19,0,,33.9,25.4,0.0,0.0,0.0,0.0,10.9,24.5,4.0,76.0,1,晴间多云
G339,长沙南,2025-10-09,19:54,2025-10-09,19:57,-2,,36.5,26.9,0.0,0.0,0.0,0.0,8.5,27.4,5.0,58.0,0,晴
G339,衡阳东,2025-10-09,20:35,2025-10-09,20:37,0,,37.4,26.7,0.0,0.0,0.0,0.0,8.4,25.6,4.0,54.0,0,晴
G339,耒阳西,2025-10-09,20:54,2025-10-09,21:07,-1,,36.5,25.7,0.0,0.0,0.0,0.0,9.7,22.7,3.0,60.0,0,晴
G339,郴州西,2025-10-09,21:28,2025-10-09,21:30,0,,35.6,23.1,0.0,0.0,0.0,0.0,7.4,19.4,14.0,64.0,2,多云
G339,广州南,2025-10-09,22:52,,,-7,,35.3,26.1,0.7,0.7,0.0,6.0,9.6,22.7,24.0,67.0,51,小毛毛雨
