车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-12-01,12:26,2025-12-01,12:26,0,,3.6,-2.2,0.0,0.0,0.0,0.0,15.5,36.4,40.0,28.0,3,阴
G339,石家庄,2025-12-01,13:37,2025-12-01,13:42,-2,,7.1,-0.7,0.0,0.0,0.0,0.0,9.3,19.1,48.0,34.0,3,阴
G339,鹤壁东,2025-12-01,14:43,2025-12-01,15:00,0,,11.0,1.7,0.0,0.0,0.0,0.0,13.4,24.5,6.0,26.0,3,阴
G339,新乡东,2025-12-01,15:16,2025-12-01,15:18,-1,,11.7,4.1,0.0,0.0,0.0,0.0,16.5,35.3,1.0,25.0,0,晴
G339,郑州东,2025-12-01,15:38,2025-12-01,15:42,0,,12.3,3.9,0.0,0.0,0.0,0.0,8.2,16.9,1.0,29.0,0,晴
G339,许昌东,2025-12-01,16:04,2025-12-01,16:10,0,,12.8,4.0,0.0,0.0,0.0,0.0,15.7,36.0,13.0,37.0,3,阴
G339,漯河西,2025-12-01,16:26,2025-12-01,16:28,-1,,12.9,4.1,0.0,0.0,0.0,0.0,15.9,29.5,23.0,46.0,3,阴
G339,驻马店西,2025-12-01,16:46,2025-12-01,16:48,-1,,12.4,4.4,0.0,0.0,0.0,0.0,15.0,28.1,33.0,52.0,3,阴
G339,信阳东,2025-12-01,17:13,2025-12-01,17:16,0,,14.2,5.9,0.0,0.0,0.0,0.0,14.2,31.0,25.0,51.0,3,阴
G339,武汉,2025-12-01,18:00,2025-12-01,18:20,0,,18.2,8.9,0.0,0.0,0.0,0.0,11.0,21.6,12.0,64.0,3,阴
G339,岳阳东,2025-12-01,19:17,2025-12-01,19:19,0,,18.1,9.3,0.0,0.0,0.0,0.0,12.7,27.0,8.0,68.0,2,多云
G339,长沙南,2025-12-01,19:54,2025-12-01,19:57,0,,20.7,10.5,0.0,0.0,0.0,0.0,11.7,27.4,17.0,63.0,3,阴
G339,衡阳东,2025-12-01,20:35,2025-12-01,20:37,0,,21.0,9.9,0.0,0.0,0.0,0.0,11.5,21.2,11.0,67.0,1,晴间多云
G339,耒阳西,2025-12-01,20:54,2025-12-01,21:07,0,,22.8,13.5,0.3,0.3,0.0,1.0,8.0,20.9,41.0,63.0,51,小毛毛雨
G339,郴州西,2025-12-01,21:28,2025-12-01,21:30,1,,23.7,13.3,0.0,0.0,0.0,0.0,9.8,23.4,17.0,68.0,3,阴
G339,广州南,2025-12-01,22:52,,,-6,,24.9,16.7,0.0,0.0,0.0,0.0,7.6,20.2,45.0,85.0,3,阴
