车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-09-23,12:26,2025-09-23,12:26,0,,21.3,15.6,0.0,0.0,0.0,0.0,8.2,22.0,94.0,73.0,3,阴
G339,石家庄,2025-09-23,13:37,2025-09-23,13:42,-3,,18.8,14.1,0.8,0.8,0.0,5.0,6.5,16.9,93.0,87.0,51,小毛毛雨
G339,鹤壁东,2025-09-23,14:43,2025-09-23,15:00,0,,16.5,14.8,17.0,17.0,0.0,23.0,12.8,23.4,100.0,94.0,61,小雨
G339,新乡东,2025-09-23,15:16,2025-09-23,15:18,0,,18.0,15.2,23.3,23.3,0.0,20.0,11.0,20.9,100.0,94.0,63,中雨
G339,郑州东,2025-09-23,15:38,2025-09-23,15:42,0,,17.8,14.9,38.9,38.9,0.0,23.0,11.1,24.8,100.0,93.0,63,中雨
G339,许昌东,2025-09-23,16:04,2025-09-23,16:10,0,,17.5,15.6,15.3,15.3,0.0,24.0,19.1,41.0,100.0,95.0,61,小雨
G339,漯河西,2025-09-23,16:26,2025-09-23,16:28,0,,18.1,15.6,11.1,11.1,0.0,22.0,18.7,38.5,100.0,92.0,61,小雨
G339,驻马店西,2025-09-23,16:46,2025-09-23,16:48,0,,18.1,15.4,6.5,6.5,0.0,19.0,18.6,36.7,100.0,91.0,55,浓毛毛雨
G339,信阳东,2025-09-23,17:13,2025-09-23,17:16,0,,19.9,16.2,1.0,1.0,0.0,9.0,19.0,37.1,98.0,88.0,51,小毛毛雨
G339,武汉,2025-09-23,18:00,2025-09-23,18:20,-3,,27.7,19.1,0.0,0.0,0.0,0.0,19.1,42.8,71.0,81.0,3,阴
G339,咸宁北,2025-09-23,18:44,2025-09-23,18:46,0,,27.7,21.1,0.6,0.6,0.0,4.0,16.1,32.8,88.0,81.0,51,小毛毛雨
G339,岳阳东,2025-09-23,19:17,2025-09-23,19:19,0,,25.4,20.2,0.1,0.1,0.0,1.0,23.5,48.2,90.0,83.0,51,小毛毛雨
G339,长沙南,2025-09-23,19:54,2025-09-23,19:57,0,,27.4,21.0,0.1,0.1,0.0,1.0,19.9,49.3,69.0,82.0,51,小毛毛雨
G339,衡阳东,2025-09-23,20:35,2025-09-23,20:37,0,,28.4,21.6,0.3,0.3,0.0,2.0,17.4,38.9,92.0,79.0,51,小毛毛雨
G339,耒阳西,2025-09-23,20:54,2025-09-23,21:07,-1,,28.4,22.5,0.0,0.0,0.0,0.0,21.3,44.6,94.0,77.0,3,阴
G339,郴州西,2025-09-23,21:28,2025-09-23,21:30,5,,26.9,21.7,20.1,20.1,0.0,24.0,14.4,28.8,100.0,94.0,63,中雨
G339,广州南,2025-09-23,22:52,,,-4,,32.3,25.5,2.6,2.6,0.0,7.0,23.4,50.8,75.0,72.0,53,毛毛雨
