车次ID,车站名,到达日期,到达时间,出发日期,出发时间,延误分钟,距离,当日最高温,当日最低温,当日降水量,当日降雨量,当日降雪量,降水小时数,最大风速,最大阵风,平均云量,平均相对湿度,天气代码,天气情况
G339,北京西,2025-08-22,12:26,2025-08-22,12:26,0,,32.7,23.5,0.0,0.0,0.0,0.0,5.9,14.8,79.0,76.0,3,阴
G339,石家庄,2025-08-22,13:37,2025-08-22,13:42,0,,31.8,24.7,0.0,0.0,0.0,0.0,7.6,21.2,35.0,74.0,3,阴
G339,鹤壁东,2025-08-22,14:43,2025-08-22,15:00,1,,35.8,25.9,11.2,11.2,0.0,9.0,16.5,31.3,74.0,75.0,63,中雨
G339,新乡东,2025-08-22,15:16,2025-08-22,15:18,0,,33.7,26.0,6.2,6.2,0.0,8.0,13.2,25.6,79.0,77.0,63,中雨
G339,郑州东,2025-08-22,15:38,2025-08-22,15:42,0,,35.6,27.1,2.0,2.0,0.0,4.0,8.0,31.0,70.0,72.0,61,小雨
G339,许昌东,2025-08-22,16:04,2025-08-22,16:10,0,,36.7,26.8,0.2,0.2,0.0,2.0,14.2,41.8,44.0,60.0,51,小毛毛雨
G339,漯河西,2025-08-22,16:26,2025-08-22,16:28,0,,37.5,26.8,1.4,1.4,0.0,5.0,18.5,36.4,44.0,60.0,53,毛毛雨
G339,驻马店西,2025-08-22,16:46,2025-08-22,16:48,0,,38.4,27.9,0.8,0.8,0.0,3.0,19.8,42.5,25.0,58.0,51,小毛毛雨
G339,信阳东,2025-08-22,17:13,2025-08-22,17:16,0,,34.9,26.7,0.8,0.8,0.0,4.0,19.9,42.8,20.0,70.0,53,毛毛雨
G339,武汉,2025-08-22,18:00,2025-08-22,18:20,0,,35.2,26.7,3.7,3.7,0.0,7.0,12.7,38.9,48.0,73.0,63,中雨
G339,咸宁北,2025-08-22,18:44,2025-08-22,18:46,-1,,35.3,26.0,8.0,8.0,0.0,6.0,11.7,37.4,62.0,78.0,63,中雨
G339,岳阳东,2025-08-22,19:17,2025-08-22,19:19,0,,34.8,28.2,2.8,2.8,0.0,1.0,23.4,52.6,59.0,63.0,63,中雨
G339,长沙南,2025-08-22,19:54,2025-08-22,19:57,-2,,33.0,26.8,2.3,2.3,0.0,6.0,16.6,43.6,73.0,69.0,53,毛毛雨
G339,衡阳东,2025-08-22,20:35,2025-08-22,20:37,5,,33.0,26.8,0.3,0.3,0.0,2.0,15.0,34.2,98.0,69.0,51,小毛毛雨
G339,耒阳西,2025-08-22,20:54,2025-08-22,21:07,5,,33.4,26.6,0.2,0.2,0.0,1.0,13.7,32.4,91.0,69.0,51,小毛毛雨
G339,郴州西,2025-08-22,21:28,2025-08-22,21:30,8,,32.9,25.6,0.3,0.3,0.0,1.0,11.1,29.5,93.0,72.0,51,小毛毛雨
G339,广州南,2025-08-22,22:52,,,5,,31.2,25.9,0.0,0.0,0.0,0.0,7.8,18.0,83.0,81.0,3,阴
